day,mouse_number,car,length,width,,Area1,Notes,,,,,,
22,809-2,BAFFR-41BB,3.77,2.48,,11.593504,almost cleared,,,,,,
22,809-3,BAFFR-41BB,9.11,4.87,,108.0304795,,,,,,,
22,809-4,BAFFR-41BB,3.41,2,,6.82,almost cleared,,,,,,
22,809-5,BAFFR-41BB,9.41,3.94,,73.038538,,,,,,,
22,810-1,CD40-41BB,7.59,4.09,,63.4831395,,,,,,,
22,810-2,CD40-41BB,4.51,3.25,,23.8184375,,,,,,,
22,810-3,CD40-41BB,0,0,,0,,,,,,,
22,810-4,CD40-41BB,6.03,3.3,,32.83335,,,,,,,
22,810-5,CD40-41BB,0,0,,0,,,,,,,
22,811-1,CD40-CD28,0,0,,0,,,,,,,
22,811-2,CD40-CD28,0,0,,0,,,,,,,
22,811-3,CD40-CD28,0,0,,0,,,,,,,
22,811-4,CD40-CD28,0,0,,0,,,,,,,
25,110-1,NT,11.58,5.83,,196.795731,,,,,,,
25,110-2,NT,6.12,4.21,,54.235746,,,,,,,
25,110-3,NT,6.50,4.95,,79.633125,,,,,,,
25,110-4,NT,7.46,4.88,,88.827712,,,,,,,
25,110-5,NT,10.58,5.19,,142.491969,,,,,,,
25,111-1,Unt,10.05,6.11,,187.5938025,,,,,,,
25,111-2,Unt,7.10,5.20,,95.992,,,,,,,
25,111-3,Unt,9.78,4.69,,107.560929,,,,,,,
25,111-4,Unt,10.90,6.53,,232.392905,,,,,,,
25,111-5,Unt,7.34,4.24,,65.977792,,,,,,,
25,112-1,CD40,9.83,5.26,,135.986254,,,,,,,
25,112-2,CD40,10.71,7.00,,262.395,,,,,,,
25,112-3,CD40,9.14,4.06,,75.330052,,,,,,,
25,112-4,CD40,8.58,5.50,,129.7725,,,,,,,
25,804-1,BAFFR,10.12,4.77,,115.129674,,,,,,,
25,804-2,BAFFR,6.82,3.45,,40.587525,,,,,,,
25,804-3,BAFFR,5.48,3.37,,31.117906,,,,,,,
25,804-4,BAFFR,7.93,3.73,,55.1646485,,,,,,,
25,804-5,BAFFR,6.00,3.73,,41.7387,,,,,,,
25,805-1,41BB,7.31,3.66,,48.960918,,,,,,,
25,805-2,CD40-CD28,0.00,0.00,,0,,,,,,,
25,805-3,CD28-41BB,4.33,3.48,,26.219016,,,,,,,
25,805-4,CD28-41BB,0.00,0.00,,0,,,,,,,
25,806-1,41BB,8.72,5.56,,134.783296,,,,,,,
25,806-2,41BB,6.06,3.34,,33.801468,,,,,,,
25,806-3,41BB,8.05,5.55,,123.9800625,,,,,,,
25,806-4,41BB,7.44,3.97,,58.630548,,,,,,,
25,807-1,CD28,5.36,3.43,,31.529932,,,,,,,
25,807-2,CD28,2.84,2.28,,7.381728,,,,,,,
25,807-3,CD28,0.00,0.00,,0,,,,,,,
25,807-4,CD28,2.52,2.55,,8.19315,,,,,,,
25,808-1,CD28-41BB,9.15,3.62,,59.95263,,,,,,,
25,808-2,CD28-41BB,2.10,1.71,,3.070305,,,,,,,
25,808-3,CD28-41BB,0.00,0.00,,0,,,,,,,
25,808-4,41BB,10.70,5.00,,133.75,,,,,,,
25,809-1,BAFFR-41BB,5.19,3.24,,27.241272,,,,,,,
25,809-2,BAFFR-41BB,0.00,0.00,,0,,,,,,,
25,809-3,BAFFR-41BB,6.96,6.63,,152.970012,,,,,,,
25,809-4,BAFFR-41BB,0.00,0.00,,0,,,,,,,
25,809-5,BAFFR-41BB,8.93,3.83,,65.4966385,,,,,,,
25,810-1,CD40-41BB,7.06,3.48,,42.749712,,,,,,,
25,810-2,CD40-41BB,4.31,3.00,,19.395,,,,,,,
25,810-3,CD40-41BB,0.00,0.00,,0,,,,,,,
25,810-4,CD40-41BB,5.41,2.87,,22.2808145,,,,,,,
25,810-5,CD40-41BB,0.00,0.00,,0,,,,,,,
25,811-1,CD40-CD28,0.00,0.00,,0,,,,,,,
25,811-2,CD40-CD28,0.00,0.00,,0,,,,,,,
25,811-3,CD40-CD28,0.00,0.00,,0,,,,,,,
25,811-4,CD40-CD28,0.00,0.00,,0,,,,,,,
29,110-1,NT,12.72,6.13,,238.989084,,,,,,,
29,110-2,NT,10.54,4.76,,119.405552,,,,,,,
29,110-3,NT,9.84,5.53,,150.458028,,,,,,,
29,110-4,NT,6.99,4.56,,72.673632,,,,,,,
