day,cage,mouse,car,length,width,height,notes,Area,Area2
21,212,3,KLRG1,20.20,21.60,11.52,,5026.4064,9424.512
21,212,4,KLRG1,9.34,10.90,5.62,,572.14972,1109.6854
21,212,5,KLRG1,,,,,,
25,253,1,Taci,,,,,,
25,253,2,Taci,,,,,,
25,253,3,Taci,,,,,,
25,253,4,Taci,,,,,,
25,253,5,Taci,,,,,,
25,254,1,Zeta,,,,,,
25,254,2,Zeta,,,,,,
25,254,3,Zeta,21.30,19.20,11.93,,4878.8928,7852.032
25,254,4,Zeta,21.50,21.01,11.42,,5158.5853,9490.53215
25,254,5,Zeta,,,,,,
25,201,1,Unt,,,,,,
25,201,2,Unt,,,,,,
25,201,3,Unt,,,,,,
25,201,4,Unt,,,,,,
25,202,1,PBS,21.40,20.80,9.50,,4228.64,9258.496
25,202,2,PBS,,,,,,
25,202,3,PBS,20.00,18.20,12.22,,4448.08,6624.8
25,202,4,PBS,,,,,,
25,202,5,PBS,,,,,,
25,203,1,41BB,,,,,,
25,203,2,41BB,,,,,,
25,203,3,41BB,19.15,20.70,10.16,,4027.4748,8205.5835
25,203,4,41BB,,,,,,
25,203,5,41BB,21.50,23.00,14.45,,7145.525,11373.5
25,204,1,CD40,,,,,,
25,204,2,CD40,22.60,21.06,14.17,,6744.29652,10023.63336
25,204,3,CD40,,,,,,
25,204,4,CD40,,,,,,
25,205,1,CD28,11.80,10.14,9.33,,1116.35316,1213.27128
25,205,2,Taci,,,,,,
25,205,3,Taci,,,,,,
25,205,4,Taci,,,,,,
25,205,5,Taci,19.34,18.02,11.13,,3878.880684,6280.092536
25,206,1,Baffr,,,,,,
25,206,2,Baffr,,,,,,
25,206,3,Baffr,,,,,,
25,206,4,Baffr,,,,,,
25,206,5,KLRG1,,,,,,
25,207,1,CD40,,,,,,
25,207,2,CD40,,,,,,
25,207,3,CD40,,,,,,
25,207,4,CD40,,,,,,
25,208,1,41BB,16.60,20.35,16.18,,5465.7658,6874.4335
25,208,2,41BB,22.20,13.90,13.73,,4236.8034,4289.262
25,208,3,41BB,10.72,11.70,4.62,,579.45888,1467.4608
25,208,4,CD28,5.50,7.50,1.50,,61.875,309.375
25,208,5,CD28,16.50,10.90,8.90,,1600.665,1960.365
25,209,1,Baffr,20.00,19.90,13.81,,5496.38,7920.2
25,209,2,Baffr,,,,,,
25,209,3,Baffr,,,,,,
25,209,4,Baffr,,,,,,
25,209,5,Baffr,,,,,,
25,210,1,CD28,,,,,,
25,210,2,CD28,8.40,6.70,2.40,,135.072,377.076
25,210,3,CD28,,,,,,
25,210,4,CD28,5.14,5.32,1.40,,38.28272,145.474336
25,210,5,CD28,,,,,,
25,211,1,Zeta,,,,,,
25,211,2,Zeta,,,,,,
25,211,3,Zeta,,,,,,
25,211,4,CD40,,,,,,
25,211,5,CD40,,,,,,
25,212,1,KLRG1,20.20,25.90,11.60,,6068.888,13550.362
25,212,2,KLRG1,,,,,,
25,212,3,KLRG1,,,,,,
25,212,4,KLRG1,15.40,18.40,6.90,,1955.184,5213.824
25,212,5,KLRG1,,,,,,
29,253,1,Taci,,,,,,
29,253,2,Taci,,,,,,
29,253,3,Taci,,,,,,
29,253,4,Taci,,,,,,
29,253,5,Taci,,,,,,
29,254,1,Zeta,,,,,,
29,254,2,Zeta,,,,,,
29,254,3,Zeta,,,,,,
29,254,4,Zeta,,,,,,
29,254,5,Zeta,,,,,,
29,201,1,Unt,,,,,,
29,201,2,Unt,,,,,,
29,201,3,Unt,,,,,,
29,201,4,Unt,,,,,,
29,202,1,PBS,,,,,,
29,202,2,PBS,,,,,,
29,202,3,PBS,,,,,,
29,202,4,PBS,,,,,,
29,202,5,PBS,,,,,,
29,203,1,41BB,,,,,,
29,203,2,41BB,,,,,,
29,203,3,41BB,,,,,,
29,203,4,41BB,,,,,,
29,203,5,41BB,,,,,,
29,204,1,CD40,,,,,,
29,204,2,CD40,,,,,,
29,204,3,CD40,,,,,,
29,204,4,CD40,,,,,,
29,205,1,CD28,14.00,12.00,9.35,,1570.8,2016
29,205,2,Taci,,,,,,
29,205,3,Taci,,,,,,
29,205,4,Taci,,,,,,
29,205,5,Taci,,,,,,
29,206,1,Baffr,,,,,,
29,206,2,Baffr,,,,,,
29,206,3,Baffr,,,,,,
29,206,4,Baffr,,,,,,
29,206,5,KLRG1,,,,,,
29,207,1,CD40,,,,,,
29,207,2,CD40,,,,,,
29,207,3,CD40,,,,,,
29,207,4,CD40,,,,,,
29,208,1,41BB,,,,,,
29,208,2,41BB,,,,,,
29,208,3,41BB,12.4,13.8,6.34,,1084.9008,2361.456
29,208,4,CD28,6,5.6,2.14,,71.904,188.16
29,208,5,CD28,17,11.9,8.3,,1679.09,2407.37
29,209,1,Baffr,,,,,,
29,209,2,Baffr,,,,,,
29,209,3,Baffr,,,,,,
29,209,4,Baffr,,,,,,
29,209,5,Baffr,,,,,,
29,210,1,CD28,,,,,,
29,210,2,CD28,9.97,8,4.16,,331.8016,638.08
29,210,3,CD28,,,,,,
29,210,4,CD28,3.74,3,1.47,,16.4934,33.66
29,210,5,CD28,,,,,,
29,211,1,Zeta,,,,,,
29,211,2,Zeta,,,,,,
29,211,3,Zeta,,,,,,
29,211,4,CD40,,,,,,
29,211,5,CD40,,,,,,
29,212,1,KLRG1,,,,,,
29,212,2,KLRG1,,,,,,
29,212,3,KLRG1,,,,,,
29,212,4,KLRG1,19,24,13.3,,6064.8,10944
29,212,5,KLRG1,,,,,,
