# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
CD300a,IL2,CD4,pos,-1.95435338668852,pct_pos,0.0506594392556476
CD300a,IFNy,CD4,pos,-3.3244413552834,pct_pos,0.000885958644050152
CD300a,IL2,CD8,pos,-0.926349300623985,pct_pos,0.354264482756354
CD300a,IFNy,CD8,pos,-0.689837419795374,pct_pos,0.490296433809364
CD300f,IL2,CD4,pos,-0.419132071858746,pct_pos,0.675119612699836
CD300f,IFNy,CD4,pos,0.0490418372733036,pct_pos,0.960885954711126
CD300f,IL2,CD8,pos,-0.187039295973101,pct_pos,0.851629822846423
CD300f,IFNy,CD8,pos,0.0868691120179713,pct_pos,0.930775551719039
CD40,IL2,CD4,pos,-0.460789348510682,pct_pos,0.644949744376129
CD40,IFNy,CD4,pos,-1.04677178403246,pct_pos,0.2952048468795
CD40,IL2,CD8,pos,-0.815675590995483,pct_pos,0.414685703096661
CD40,IFNy,CD8,pos,-1.37492915992849,pct_pos,0.169153407932241
CD7,IL2,CD4,pos,1.62920327241664,pct_pos,0.103269994454852
CD7,IFNy,CD4,pos,1.06173848653704,pct_pos,0.288354422229909
CD7,IL2,CD8,pos,1.38409158825587,pct_pos,0.166330412264029
CD7,IFNy,CD8,pos,0.362196824826286,pct_pos,0.717204952134641
CD72,IL2,CD4,pos,-0.983489695783893,pct_pos,0.325366484237843
CD72,IFNy,CD4,pos,-2.35441788636038,pct_pos,0.0185517420118397
CD72,IL2,CD8,pos,-1.42299104418914,pct_pos,0.154738751460582
CD72,IFNy,CD8,pos,-1.09318518723172,pct_pos,0.27431249939872
CD96,IL2,CD4,pos,-0.504862224968529,pct_pos,0.613655607531069
CD96,IFNy,CD4,pos,-0.00801465214082373,pct_pos,0.993605301256909
CD96,IL2,CD8,pos,-1.01125766995612,pct_pos,0.311893120297189
CD96,IFNy,CD8,pos,-0.495153603206607,pct_pos,0.620491698530306
CRACC,IL2,CD4,pos,-0.34957176055833,pct_pos,0.726660107158688
CRACC,IFNy,CD4,pos,1.23074824183999,pct_pos,0.218417039027218
CRACC,IL2,CD8,pos,-1.09661387725566,pct_pos,0.2728102185442
CRACC,IFNy,CD8,pos,0.946558716246988,pct_pos,0.34386368912491
