# Differentiation Arrayed Data: Fig S4H
Domain Name,Measurement Day,Differentiation Status,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation
CD40,24,TEM,1,cd8,cd19+,0.5958,0.0172534054609517
CD40,24,TEMRA,1,cd8,cd19+,0.1172,0.00905096679918781
KLRG1,24,Naive,1,cd8,cd19+,0.0745834020788649,0.00617158038686163
KLRG1,24,TCM,1,cd8,cd19+,0.0282569341326147,0.00171141125934763
KLRG1,24,TEM,1,cd8,cd19+,0.648285944746925,0.0194921349038518
KLRG1,24,TEMRA,1,cd8,cd19+,0.248873719041596,0.0150319657763378
TACI,24,Naive,1,cd8,cd19+,0.072,
TACI,24,TCM,1,cd8,cd19+,0.18,
TACI,24,TEM,1,cd8,cd19+,0.52,
TACI,24,TEMRA,1,cd8,cd19+,0.228,
TNR8,24,Naive,1,cd8,cd19+,0.0452,0.00509116882454315
TNR8,24,TCM,1,cd8,cd19+,0.1122,0.0121622366364086
TNR8,24,TEM,1,cd8,cd19+,0.5962,0.0212132034355964
TNR8,24,TEMRA,1,cd8,cd19+,0.2464,0.0282842712474619
41BB,33,Naive,1,cd4,cd19+,0.264387931372454,0.205970483345765
41BB,33,TCM,1,cd4,cd19+,0.117028830253192,0.0278681829032243
41BB,33,TEM,1,cd4,cd19+,0.301197193327485,0.296880273809873
41BB,33,TEMRA,1,cd4,cd19+,0.317386045046869,0.116611098909935
CD40,33,Naive,1,cd4,cd19+,0.1197,0.125285540533083
CD40,33,TCM,1,cd4,cd19+,0.1748,0.113046067305914
CD40,33,TEM,1,cd4,cd19+,0.5341,0.296203601148489
CD40,33,TEMRA,1,cd4,cd19+,0.1714,0.0581469403035677
KLRG1,33,Naive,1,cd4,cd19+,0.368092430278885,0.249117716723335
KLRG1,33,TCM,1,cd4,cd19+,0.176580610889774,0.0537331136480549
KLRG1,33,TEM,1,cd4,cd19+,0.344102523240372,0.328351365070108
KLRG1,33,TEMRA,1,cd4,cd19+,0.111224435590969,0.0255951540494725
TACI,33,Naive,1,cd4,cd19+,0.222,0.247645768521626
TACI,33,TCM,1,cd4,cd19+,0.1029,0.0268534293278655
TACI,33,TEM,1,cd4,cd19+,0.4949,0.376249899224793
TACI,33,TEMRA,1,cd4,cd19+,0.1802,0.103023363046123
TNR8,33,Naive,1,cd4,cd19+,0.0649014925373134,0.0770767499158447
TNR8,33,TCM,1,cd4,cd19+,0.101034328358209,0.0286156615896896
TNR8,33,TEM,1,cd4,cd19+,0.679527611940299,0.223548115030733
TNR8,33,TEMRA,1,cd4,cd19+,0.154536567164179,0.117855703525198
zeta,33,Naive,1,cd4,cd19+,0.143521568627451,0.232307523582996
zeta,33,TCM,1,cd4,cd19+,0.0949869059488202,0.015320496176571
zeta,33,TEM,1,cd4,cd19+,0.559900299102692,0.398547584435149
zeta,33,TEMRA,1,cd4,cd19+,0.201591226321037,0.179500603096727
41BB,33,Naive,1,cd8,cd19+,0.032,0.0041569219381653
41BB,33,TCM,1,cd8,cd19+,0.0433333333333333,0.00637913264741637
41BB,33,TEM,1,cd8,cd19+,0.570266666666667,0.0654490132342218
41BB,33,TEMRA,1,cd8,cd19+,0.3544,0.0677135141607641
CD28,33,Naive,1,cd8,cd19+,0.0146,0.00424264068711929
CD28,33,TCM,1,cd8,cd19+,0.1244,0.0028284271247462
CD28,33,TEM,1,cd8,cd19+,0.754,0
CD28,33,TEMRA,1,cd8,cd19+,0.107,0.00707106781186548
CD40,33,Naive,1,cd8,cd19+,0.0166666666666667,0.00128582010146573
CD40,33,TCM,1,cd8,cd19+,0.0912,0.00697423830966508
CD40,33,TEM,1,cd8,cd19+,0.778,0.0366147511257417
CD40,33,TEMRA,1,cd8,cd19+,0.114133333333333,0.0425607017486006
TNR8,33,Naive,1,cd8,cd19+,0.0092,0.000565685424949237
TNR8,33,TCM,1,cd8,cd19+,0.0844,0.00169705627484771
TNR8,33,TEM,1,cd8,cd19+,0.7742,0.00989949493661167
TNR8,33,TEMRA,1,cd8,cd19+,0.1322,0.00876812408671319
41BB,6,Naive,1,cd4,cd19-,0.3729,0.145957573744336
41BB,6,TCM,1,cd4,cd19-,0.3828,0.0490757238017603
41BB,6,TEM,1,cd4,cd19-,0.2006,0.106421802277541
41BB,6,TEMRA,1,cd4,cd19-,0.0437,0.00794229186066591
BAFF-R,6,Naive,1,cd4,cd19-,0.2332,0.0895845224727278
BAFF-R,6,TCM,1,cd4,cd19-,0.3733,0.0160644535128546
BAFF-R,6,TEM,1,cd4,cd19-,0.3563,0.123042485887328
BAFF-R,6,TEMRA,1,cd4,cd19-,0.0372,0.0189455359737679
CD28,6,Naive,1,cd4,cd19-,0.395866666666667,0.0958524421528563
CD28,6,TCM,1,cd4,cd19-,0.4348,0.0471172155374233
CD28,6,TEM,1,cd4,cd19-,0.148933333333333,0.0595512104550921
CD28,6,TEMRA,1,cd4,cd19-,0.0204,0.00994384231572484
CD40,6,Naive,1,cd4,cd19-,0.261333333333333,0.13059882592632
CD40,6,TCM,1,cd4,cd19-,0.369466666666667,0.0663582197872527
CD40,6,TEM,1,cd4,cd19-,0.315066666666667,0.216388662672824
CD40,6,TEMRA,1,cd4,cd19-,0.0541333333333333,0.0211256558083609
KLRG1,6,Naive,1,cd4,cd19-,0.364649122807018,0.124776158967657
KLRG1,6,TCM,1,cd4,cd19-,0.442621052631579,0.037513541783928
KLRG1,6,TEM,1,cd4,cd19-,0.17360701754386,0.0960029664053847
KLRG1,6,TEMRA,1,cd4,cd19-,0.0191228070175439,0.00631512511125645
TACI,6,Naive,1,cd4,cd19-,0.358332180595581,0.136311306447476
TACI,6,TCM,1,cd4,cd19-,0.406475696445725,0.0344867892578256
TACI,6,TEM,1,cd4,cd19-,0.202775408261287,0.112711583614867
TACI,6,TEMRA,1,cd4,cd19-,0.0324167146974063,0.00606379287802908
TNR8,6,Naive,1,cd4,cd19-,0.1876,0.145713691875541
TNR8,6,TCM,1,cd4,cd19-,0.34464,0.0686309551150208
TNR8,6,TEM,1,cd4,cd19-,0.42584,0.227705880468643
TNR8,6,TEMRA,1,cd4,cd19-,0.04192,0.0140752264635423
zeta,6,Naive,1,cd4,cd19-,0.4304,0.0985062840635053
zeta,6,TCM,1,cd4,cd19-,0.3856,0.0189702925649553
zeta,6,TEM,1,cd4,cd19-,0.165733333333333,0.0912072511737234
zeta,6,TEMRA,1,cd4,cd19-,0.0182666666666667,0.00634308021915746
41BB,6,Naive,1,cd8,cd19-,0.540133333333333,0.014490456629566
41BB,6,TCM,1,cd8,cd19-,0.0796,0.00771492060879436
41BB,6,TEM,1,cd8,cd19-,0.0653333333333333,0.00477214137817954
41BB,6,TEMRA,1,cd8,cd19-,0.314933333333333,0.00789261257970601
BAFF-R,6,Naive,1,cd8,cd19-,0.473333333333333,0.0127142964151908
BAFF-R,6,TCM,1,cd8,cd19-,0.1364,0.00461302503786831
BAFF-R,6,TEM,1,cd8,cd19-,0.126,0.0078689262291624
BAFF-R,6,TEMRA,1,cd8,cd19-,0.264266666666667,0.0117462050609264
CD28,6,Naive,1,cd8,cd19-,0.4564,0.00747261667690775
CD28,6,TCM,1,cd8,cd19-,0.0910666666666667,0.0143684840304513
CD28,6,TEM,1,cd8,cd19-,0.168,0.00262297540972081
CD28,6,TEMRA,1,cd8,cd19-,0.284533333333333,0.0191680289370955
CD40,6,Naive,1,cd8,cd19-,0.488533333333333,0.0152857231864683
CD40,6,TCM,1,cd8,cd19-,0.238,0.0108221994067749
CD40,6,TEM,1,cd8,cd19-,0.101066666666667,0.00266333124739176
CD40,6,TEMRA,1,cd8,cd19-,0.1724,0.00499599839871872
KLRG1,6,Naive,1,cd8,cd19-,0.637066666666667,0.014490456629566
KLRG1,6,TCM,1,cd8,cd19-,0.1736,0.00567097875150313
KLRG1,6,TEM,1,cd8,cd19-,0.0801333333333333,0.00887543426167606
KLRG1,6,TEMRA,1,cd8,cd19-,0.1092,0.00105830052442584
TACI,6,Naive,1,cd8,cd19-,0.556666666666667,0.00903622339992397
TACI,6,TCM,1,cd8,cd19-,0.113733333333333,0.00442417600614322
TACI,6,TEM,1,cd8,cd19-,0.0929333333333333,0.00310698138606161
TACI,6,TEMRA,1,cd8,cd19-,0.236666666666667,0.0016653327995729
TNR8,6,Naive,1,cd8,cd19-,0.3416,0.0180842472887317
TNR8,6,TCM,1,cd8,cd19-,0.2088,0.0173112680067059
TNR8,6,TEM,1,cd8,cd19-,0.211466666666667,0.0152332968635596
TNR8,6,TEMRA,1,cd8,cd19-,0.238133333333333,0.0132986214824445
zeta,6,Naive,1,cd8,cd19-,0.590933333333333,0.0183840510588209
zeta,6,TCM,1,cd8,cd19-,0.0776,0.00733212111192935
zeta,6,TEM,1,cd8,cd19-,0.0648,0.0170692706346815
zeta,6,TEMRA,1,cd8,cd19-,0.266666666666667,0.00600444279957212
41BB,15,Naive,1,cd4,cd19-,0.301666666666667,0.146811098581363
41BB,15,TCM,1,cd4,cd19-,0.1768,0.0112342333961869
41BB,15,TEM,1,cd4,cd19-,0.330866666666667,0.225375692271076
41BB,15,TEMRA,1,cd4,cd19-,0.190666666666667,0.0807816480809018
BAFF-R,15,Naive,1,cd4,cd19-,0.2558,0.101619132056911
BAFF-R,15,TCM,1,cd4,cd19-,0.235533333333333,0.0234311473612938
BAFF-R,15,TEM,1,cd4,cd19-,0.380666666666667,0.131360795775097
BAFF-R,15,TEMRA,1,cd4,cd19-,0.128,0.0530684086816253
CD28,15,Naive,1,cd4,cd19-,0.401733333333333,0.183465949611002
CD28,15,TCM,1,cd4,cd19-,0.322733333333333,0.106412455411322
CD28,15,TEM,1,cd4,cd19-,0.22,0.110385216401473
CD28,15,TEMRA,1,cd4,cd19-,0.0555333333333333,0.0327447502153653
CD40,15,Naive,1,cd4,cd19-,0.121066666666667,0.0907387164702403
CD40,15,TCM,1,cd4,cd19-,0.195666666666667,0.0961423666583399
CD40,15,TEM,1,cd4,cd19-,0.562466666666667,0.236516914123846
CD40,15,TEMRA,1,cd4,cd19-,0.1208,0.0511962498626608
KLRG1,15,Naive,1,cd4,cd19-,0.414533333333333,0.0908071069171718
KLRG1,15,TCM,1,cd4,cd19-,0.2592,0.0229210819988935
KLRG1,15,TEM,1,cd4,cd19-,0.247133333333333,0.10517928820194
KLRG1,15,TEMRA,1,cd4,cd19-,0.0791333333333333,0.0368029708945714
TACI,15,Naive,1,cd4,cd19-,0.3182,0.120989189599732
TACI,15,TCM,1,cd4,cd19-,0.2182,0.0301322418681385
TACI,15,TEM,1,cd4,cd19-,0.349533333333333,0.14973158206159
TACI,15,TEMRA,1,cd4,cd19-,0.114066666666667,0.0587874362994906
TNR8,15,Naive,1,cd4,cd19-,0.0976,0.0467798247110867
TNR8,15,TCM,1,cd4,cd19-,0.166133333333333,0.0290518616729921
TNR8,15,TEM,1,cd4,cd19-,0.6168,0.154333457163377
TNR8,15,TEMRA,1,cd4,cd19-,0.119466666666667,0.0789955610567244
zeta,15,Naive,1,cd4,cd19-,0.457066666666667,0.128051906142262
zeta,15,TCM,1,cd4,cd19-,0.248133333333333,0.0516112649202349
zeta,15,TEM,1,cd4,cd19-,0.2154,0.0910763196445706
zeta,15,TEMRA,1,cd4,cd19-,0.0794,0.0168812321825156
41BB,15,Naive,1,cd8,cd19-,0.2932,0.0174859943955155
41BB,15,TCM,1,cd8,cd19-,0.0856,0.00884533775499839
41BB,15,TEM,1,cd8,cd19-,0.168133333333333,0.0316033753471577
41BB,15,TEMRA,1,cd8,cd19-,0.453066666666667,0.0231044007352135
BAFF-R,15,Naive,1,cd8,cd19-,0.158533333333333,0.0318605293950577
BAFF-R,15,TCM,1,cd8,cd19-,0.09,0.00904212364436586
BAFF-R,15,TEM,1,cd8,cd19-,0.3212,0.0370016215860873
BAFF-R,15,TEMRA,1,cd8,cd19-,0.430266666666667,0.0516980979663017
CD28,15,Naive,1,cd8,cd19-,0.052,0.00643739077577243
CD28,15,TCM,1,cd8,cd19-,0.0356,0.000692820323027551
