# Interbin volcano data: Fig S2A
Domain Name,Sort Assay Name,T Cell Type,K562 Condition,Sorted Cell Group,"Log2 Fold Change, Domain Mean",P value after multiple hypothesis correction
CD300a,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.279714979464183,0.558142957321351
CD300f,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.124772293993657,0.853310078951486
CD40,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.480527938072887,0.328135402362053
CD7,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.276969501313569,0.558142957321351
CD72,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.106299992852145,0.855493686229429
CD96,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-1.39410119412332,0.00273326918868687
CRACC,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.122636644704709,0.853310078951486
CRTAM,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.261593817546875,0.561198054666719
CTLA4,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.302243012524688,0.558142957321351
CXADR,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.548009633102682,0.266645585046136
DC-SIGN,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-1.82377291230444,0.00106202529766605
GITR,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.435892503313281,0.41901013516289
TIM1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-2.16642694843603,4.3261297502585e-05
HAVCR2,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.497297660664992,0.260247905437098
ICOS,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-1.02687824229985,0.0772527062009135
ILT2,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.0580295211530528,0.87578870651165
ILT3,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.0950105362942768,0.855493686229429
ILT4,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.633532524914578,0.196160820451601
KIR2DL1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.229587399103863,0.58676999682729
KIR3DL1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.672085237229046,0.0710322567425034
KLRG1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-2.65874982365661,2.3670771622666e-06
LAG3,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-1.30297431890996,0.00637341868523411
LAIR1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.0128467528474421,0.959739396387251
NKG2D,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.919282932251481,0.0587889290011151
NKR-P1A,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-1.88752983494906,9.49495371254969e-05
NTB-A,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.762406246664805,0.0657698588267339
PD1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.309167937310814,0.558142957321351
