"# m28 arrayed data: Fig 7A, 7B, S7B, S7C"
Domain Name,Cage Number,Mouse Number,"Tumor Volume, L*W^2",Tumor Measurement Day
KLRG1,267,4,254.7135,49
KLRG1,267,5,568.178,49
Unt,258,1,0,0
Unt,258,2,0,0
Unt,258,3,0,0
Unt,258,4,0,0
None,259,3,0,0
Unt,261,5,0,0
None,263,3,0,0
zeta,264,1,0,0
zeta,264,2,0,0
zeta,264,3,0,0
zeta,264,4,0,0
zeta,264,5,0,0
None,265,1,0,0
None,265,2,0,0
None,265,3,0,0
None,265,4,0,0
None,266,1,0,0
None,266,2,0,0
None,266,3,0,0
KLRG1,267,1,0,0
KLRG1,267,2,0,0
KLRG1,267,3,0,0
KLRG1,267,4,0,0
KLRG1,267,5,0,0
NT,240,1,35.316,6
NT,240,2,62.6661,6
NT,240,3,47.7201825,6
NT,240,4,34.656,6
Unt,241,1,37.6475,6
Unt,241,2,40.425,6
Unt,241,3,33.4425,6
Unt,241,4,41.715,6
41BB-ALPPL2,242,1,64.856,6
41BB-ALPPL2,242,2,53.4252,6
41BB-ALPPL2,242,3,59.7375,6
41BB-ALPPL2,242,4,34.3035,6
41BB-CD19,243,1,62.622,6
41BB-CD19,243,2,49.52,6
41BB-CD19,243,3,80.688,6
41BB-CD19,243,4,47.0936,6
41BB-CD19,243,5,44.712,6
CD28-KO,244,1,67.76,6
CD28-KO,244,2,51.3592875,6
CD28-KO,244,3,40,6
CD28-KO,244,4,45.8615,6
CD28-KO,244,5,38.88,6
CD28-Lenti,245,1,62.424,6
CD28-Lenti,245,2,48.125708,6
CD28-Lenti,245,3,54.21351,6
CD28-Lenti,245,4,37.6475,6
CD28-Lenti,245,5,46.656,6
NT,240,1,27.818127,14
NT,240,2,8,14
NT,240,3,23.0434,14
NT,240,4,0,14
Unt,241,1,86.619918,14
Unt,241,2,41.782536,14
Unt,241,3,30.528,14
Unt,241,4,45.0006435,14
41BB-ALPPL2,242,1,21.15,14
41BB-ALPPL2,242,2,23.7277805,14
41BB-ALPPL2,242,3,25.187998,14
41BB-ALPPL2,242,4,0,14
41BB-CD19,243,1,11.154,14
41BB-CD19,243,2,28.8,14
41BB-CD19,243,3,64.4904,14
41BB-CD19,243,4,29.403,14
41BB-CD19,243,5,45.28,14
CD28-KO,244,1,16.25,14
CD28-KO,244,2,9.386,14
CD28-KO,244,3,19.35,14
CD28-KO,244,4,0,14
CD28-KO,244,5,15.552,14
CD28-Lenti,245,1,86.122,14
CD28-Lenti,245,2,33.625,14
CD28-Lenti,245,3,68.4285,14
CD28-Lenti,245,4,17.496,14
CD28-Lenti,245,5,27.225,14
NT,240,1,68.921,21
NT,240,2,30.70242,21
NT,240,3,40.23,21
NT,240,4,66.453034,21
Unt,241,1,181.78182,21
Unt,241,2,91.129495,21
Unt,241,3,133.285232,21
Unt,241,4,45.125,21
41BB-ALPPL2,242,1,0,21
41BB-ALPPL2,242,2,0,21
41BB-ALPPL2,242,3,10.708464,21
41BB-ALPPL2,242,4,0,21
41BB-CD19,243,1,0,21
41BB-CD19,243,2,0,21
41BB-CD19,243,3,0,21
41BB-CD19,243,4,0,21
41BB-CD19,243,5,0,21
