"# Domain abundance data: Fig 2C, 3C, S3D"
Domain Name,"Sort Group (Subset, Sort, Donor, Replicate)",Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,CAR abundance relative to baseline,Days of expansion,Adjusted p-value
CD40,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,136970,0.884168463514347,14,3.10057910470268e-09
CD40,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,263644,0.886035629853159,3,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,598187,1.0830113907902,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,598187,0.884168463514347,14,3.10057910470268e-09
CD40,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,213141,0.886035629853159,3,3.10057910470268e-09
CD40,prolif1_d2_24d_CTV3_CD4_neg,d2,CD4,neg,5363,0.703162879632485,24,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,93821,0.880909840868925,4,3.10057910470268e-09
CD40,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,6037,0.916500453093966,4,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,250650,0.880909840868925,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,18840,0.783384326673367,14,3.10057910470268e-09
CD40,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,103629,0.916500453093966,4,3.10057910470268e-09
CD40,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,44487,0.953543940207343,16,3.10057910470268e-09
CD40,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,14361,0.898168757787706,24,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,217025,0.880909840868925,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,88934,0.783384326673367,14,3.10057910470268e-09
CD40,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1423971,0.916500453093966,4,3.10057910470268e-09
CD40,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,7847,0.584631047071369,24,3.10057910470268e-09
CD40,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,687983,0.953543940207343,16,3.10057910470268e-09
CD40,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,168368,0.898168757787706,24,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,331861,0.880909840868925,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,498262,0.783384326673367,14,3.10057910470268e-09
CD40,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1270960,0.916500453093966,4,3.10057910470268e-09
CD40,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,24324,0.584631047071369,24,3.10057910470268e-09
CD40,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,1318836,0.953543940207343,16,3.10057910470268e-09
CD40,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,1238524,0.898168757787706,24,3.10057910470268e-09
KLRG1,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,61366,0.790661591645853,3,6.21776490771725e-09
KLRG1,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,247698,0.790661591645853,3,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,20594,0.566672401916778,16,6.21776490771725e-09
KLRG1,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,9608,0.541292229804973,24,6.21776490771725e-09
KLRG1,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,694982,0.790661591645853,3,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,108590,0.566672401916778,16,6.21776490771725e-09
KLRG1,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,68455,0.541292229804973,24,6.21776490771725e-09
KLRG1,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,486438,0.790661591645853,3,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,695906,0.566672401916778,16,6.21776490771725e-09
KLRG1,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,225958,0.541292229804973,24,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,9218,0.639772511797913,16,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,120793,0.639772511797913,16,6.21776490771725e-09
KLRG1,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,28188,1.18040405833861,24,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,782055,0.639772511797913,16,6.21776490771725e-09
KLRG1,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,381486,1.18040405833861,24,6.21776490771725e-09
KLRG1,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,1324486,0.639772511797913,16,6.21776490771725e-09
