"# Cytokine data: Fig 2B, S2C"
Domain Name,Cytokine Bin,Cytokine Sort Group (IL2/IFNg/both),Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Number of CAR-T cells in bin for this domain,Number of CAR-T cells in bin for this domain,"Number of CAR-T cells in bin for this domain, including double positive cells","Log2 Fold Change, Domain Mean","Log2 Fold Change, Domain/Donor Mean","Log2 Fold Change, Domain/Subset Mean","Sort Group (Subset, Cytokine, Donor, Replicate)",Domain Rank within Sort Group
CD300f,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,107.348770740918,0.0315502523986022,0.037820481712957,0.231071779244541,0.221561984628864,-0.18787689317769,67_il2.ifng_CD4_pos,10
CD300f,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,20.7968083031787,0.00444201922051072,0.0482349420702108,-0.190893705269828,-0.373827728649911,-0.772268821395895,67_il2.ifng_CD8_pos,11
CD300f,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,817.473256625774,0.174605250250355,0.218398173100055,0.212052190013186,0.221561984628864,-0.18787689317769,67_il2.ifng_CD8_pos,9
CD300f,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,5.26350250830673,0.000775347712852579,0.00266815881508563,-1.24045756810262,-1.25539175522326,-0.772268821395895,68_il2.ifng_CD4_pos,20
CD300f,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,97.3142724654659,0.0143350171230914,0.0162278282253245,-0.625754500056701,-0.557801519083468,-0.18787689317769,68_il2.ifng_CD4_pos,22
CD300f,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,42.0042736403139,0.0152822441685335,0.0211598646428136,-1.2703259423439,-1.25539175522326,-0.772268821395895,68_il2.ifng_CD8_pos,25
CD300f,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,214.181970285944,0.077924955789878,0.0838025762641581,-0.489848538110234,-0.557801519083468,-0.18787689317769,68_il2.ifng_CD8_pos,21
CD40,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,76.2209022169018,0.00175298398413601,0.00339632907343007,-1.81803864270717,-1.5936473589162,-1.21516981787038,67_il2.ifng_CD4_pos,21
CD40,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,211.780639654437,0.0048706858442563,0.00651403093355036,-2.30647348364726,-1.43202692287196,-1.09662743669134,67_il2.ifng_CD4_pos,26
CD40,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,267.194903685727,0.00590585821744071,0.0213127427133343,-1.36925607512523,-1.5936473589162,-1.21516981787038,67_il2.ifng_CD8_pos,25
